X69HK211,158,1,1,0,0
J5EUF311,153,0,2,0,0
DFXK1411,163,2,0,0,0
K1PIS511,158,1,1,0,0
NXXNL711,153,0,2,0,0
2V64H811,158,1,1,0,0
L4IEE811,153,0,2,0,0
Z1IT6A11,158,1,1,0,0
S1ODEC11,163,2,0,0,0
52YLDC11,158,1,1,0,0
DQHVEE11,158,1,1,0,0
7B1S7F11,153,0,2,0,0
JEXRNG11,163,2,0,0,0
WB9YXK11,158,1,1,0,0
3FEO6L11,213,2,0,1,0
ZHZYCR11,163,2,0,0,0
FCNJWV11,153,0,2,0,0
GCR21X11,158,1,1,0,0
QLXB3X11,158,1,1,0,0
ZSWZ9X11,158,1,1,0,0
8NSRLZ11,153,0,2,0,0
MOTMQ121,158,1,1,0,0
ZGS7Z121,158,1,1,0,0
WWP7Q321,153,0,2,0,0
2HJF5421,158,1,1,0,0
36TT6621,163,2,0,0,0
UK349821,163,2,0,0,0
TM7K9821,153,0,2,0,0
IC2JH821,153,0,2,0,0
81RON821,158,1,1,0,0
YTM93921,163,2,0,0,0
KMKR9B21,158,1,1,0,0
BLR2LC21,158,1,1,0,0
KO6S4E21,158,1,1,0,0
EV43JE21,158,1,1,0,0
AIW37K21,163,2,0,0,0
KU9TKK21,153,0,2,0,0
141SGM21,158,1,1,0,0
K64GQM21,158,1,1,0,0
UMV3BN21,153,0,2,0,0
T29U2N21,153,0,2,0,0
EWRRKO21,163,2,0,0,0
4QMQTO21,163,2,0,0,0
HV2TZO21,158,1,1,0,0
FE2USR21,158,1,1,0,0
5YAJZR21,158,1,1,0,0
THZBWU21,153,0,2,0,0
CCSZQU21,153,0,2,0,0
B834MW21,163,2,0,0,0
MECZIX21,153,0,2,0,0
YHIBZ231,153,0,2,0,0
4ZKH4331,158,1,1,0,0
9I8GF331,158,1,1,0,0
56DAD431,153,0,2,0,0
O1QKU631,158,1,1,0,0
MU2FG831,158,1,1,0,0
SH2VG831,158,1,1,0,0
9YBWF931,163,2,0,0,0
38VC8D31,163,2,0,0,0
7FWAND31,158,1,1,0,0
43A1PJ31,158,1,1,0,0
PA6HEM31,158,1,1,0,0
783PGN31,158,1,1,0,0
MTW1BO31,153,0,2,0,0
IPWRWO31,243,3,0,0,0
DWFJTQ31,163,2,0,0,0
XXTAQU31,158,1,1,0,0
HPX6GV31,153,0,2,0,0
BNMZ1141,158,1,1,0,0
PJ28H241,163,2,0,0,0
IBD7G441,163,2,0,0,0
6ONPD441,158,1,1,0,0
C5DH7641,163,2,0,0,0
2ENBK641,163,2,0,0,0
N3N47741,153,0,2,0,0
LTA28A41,163,2,0,0,0
UKCH1E41,158,1,1,0,0
2JR92G41,158,1,1,0,0
JTZZJK41,153,0,2,0,0
YL42LL41,163,2,0,0,0
