WT2AY9K7,18,3,3,0,2,1,1,0,0,0
O6HPVT91,16,3,3,1,1,1,0,1,0,0
R5GML3I7,16,2,2,1,1,0,1,1,0,0
WE8T1P71,15,3,3,0,1,1,1,0,0,0
96FVD398,14,2,2,1,1,1,1,0,0,0
KAGAELK4,14,1,1,0,2,1,0,1,0,0
MZXGVT48,14,2,2,1,1,1,0,1,0,0
V5BNUTLA,14,2,2,1,1,1,1,0,0,0
4R3FTPV9,13,2,2,0,1,1,0,1,0,0
G5SQL2F9,13,2,2,1,2,1,0,0,0,0
PBYNHKR9,13,2,2,1,2,1,0,0,0,0
TLTV8RR6,13,2,2,1,2,1,0,0,0,0
U1R6C373,13,0,0,1,2,1,1,0,0,0
1JSGZ1J6,12,2,2,1,1,0,0,1,0,0
F1GFQVV3,12,2,2,1,1,0,0,1,0,0
IRQ3KK57,12,3,3,0,0,1,0,1,0,0
KHT3DFI1,12,1,1,1,1,1,1,0,0,0
1WA2CPD2,11,1,1,0,1,1,1,0,0,0
HDU74P44,11,1,1,0,1,1,1,0,0,0
J6WKYWU2,11,1,1,1,2,1,0,0,0,0
KC991IY7,11,0,0,0,3,1,0,0,0,0
KRMBY9U5,11,1,1,0,1,1,0,1,0,0
P2OB99Q3,11,3,3,0,1,1,0,0,0,0
RWJBTQL2,11,1,1,0,1,1,1,0,0,0
2ZFWIBC4,10,0,0,1,1,1,0,1,0,0
81OPE9OA,10,2,2,0,0,1,1,0,0,0
8MOQ3MR6,10,0,0,1,1,1,0,1,0,0
I7BIXDY7,10,2,2,1,1,1,0,0,0,0
IZLI75R8,10,2,2,0,0,1,0,1,0,0
RGG3JZ74,10,0,0,1,1,1,0,1,0,0
SCEDQXP3,10,1,1,0,2,1,0,0,0,0
TDHD6475,10,1,1,0,2,1,0,0,0,0
USAAHPY4,10,2,2,1,1,1,0,0,0,0
V8QXOFG7,10,2,2,1,1,1,0,0,0,0
VMUUSRG6,10,2,2,1,1,1,0,0,0,0
ZK6I6484,10,1,1,1,1,2,0,0,0,0
2BPVMJQ1,9,2,2,0,1,1,0,0,0,0
6YHXHOU1,9,2,2,0,1,1,0,0,0,0
7ITPEVKA,9,0,0,0,1,1,1,0,0,0
7M6KLI6A,9,2,2,0,1,1,0,0,0,0
98BFXA92,9,2,2,0,1,1,0,0,0,0
9Y2LDRO6,9,0,0,0,1,1,1,0,0,0
CIGE5WR1,9,2,2,0,1,1,0,0,0,0
EF7PWBH2,9,2,2,0,1,1,0,0,0,0
I5CW95O8,9,1,1,1,0,1,1,0,0,0
I6YWAA9A,9,0,0,1,2,1,0,0,0,0
IGPAO9A7,9,1,1,1,2,0,0,0,0,0
KGDKB4G8,9,1,1,0,1,0,1,0,0,0
L621V597,9,2,2,0,1,1,0,0,0,0
LU2R5XK1,9,0,0,0,1,1,1,0,0,0
ODP2GG12,9,1,1,0,1,2,0,0,0,0
PX83D9U3,9,2,2,0,1,1,0,0,0,0
QDBUSZ55,9,0,0,0,1,1,0,1,0,0
QI295418,9,0,0,0,1,1,0,1,0,0
UNY1DJE9,9,2,2,0,1,1,0,0,0,0
4G9FVYD4,8,1,1,0,2,0,0,0,0,0
5SSOS2Z4,8,2,2,1,1,0,0,0,0,0
9KPYLRG9,8,1,1,0,0,1,1,0,0,0
C9S7XHW4,8,1,1,1,1,1,0,0,0,0
DOHR7FNA,8,1,1,1,1,1,0,0,0,0
F53FOPH6,8,2,2,1,1,0,0,0,0,0
FOJGGRM7,8,0,0,0,2,1,0,0,0,0
FPDRGIAA,8,1,1,1,1,1,0,0,0,0
HWQPP8Z1,8,1,1,1,1,1,0,0,0,0
IRB1TOD1,8,1,1,1,1,1,0,0,0,0
NJ4WC613,8,1,1,1,1,1,0,0,0,0
R8C628C2,8,1,1,1,1,1,0,0,0,0
WF8RX1V9,8,1,1,1,1,1,0,0,0,0
YTBR5X87,8,2,2,1,1,0,0,0,0,0
Z2GWOF51,8,1,1,1,1,1,0,0,0,0
ZTH78T44,8,1,1,0,2,0,0,0,0,0
26Y3QYV3,7,1,1,0,1,1,0,0,0,0
2TPIXM84,7,0,0,0,1,2,0,0,0,0
3GATEBQ8,7,1,1,0,1,1,0,0,0,0
3WN1KK15,7,1,1,0,1,1,0,0,0,0
4HII1YM8,7,2,2,0,1,0,0,0,0,0
4RV2ZEG7,7,1,1,0,1,1,0,0,0,0
6RH5YFE3,7,1,1,0,1,1,0,0,0,0
6ZPS6ZL2,7,1,1,0,1,1,0,0,0,0
7UDWDGMA,7,2,2,0,1,0,0,0,0,0
7ZTYG6W5,7,1,1,0,1,1,0,0,0,0
7ZUMR9H2,7,1,1,0,1,1,0,0,0,0
93XQI9U1,7,1,1,0,1,1,0,0,0,0
9IY823N5,7,1,1,0,1,1,0,0,0,0
A42QWVG8,7,1,1,0,1,1,0,0,0,0
DYUJ22B6,7,1,1,0,1,1,0,0,0,0
EJ38D9Q1,7,1,1,0,1,1,0,0,0,0
EPSYMWM6,7,1,1,0,1,1,0,0,0,0
EQ2ELDO8,7,1,1,0,1,1,0,0,0,0
GNBRJWX4,7,1,1,0,1,1,0,0,0,0
GTIQB248,7,0,0,1,0,1,1,0,0,0
HU1JEO74,7,1,1,0,1,1,0,0,0,0
HV9V9SU5,7,0,0,0,1,2,0,0,0,0
JDDTT92A,7,1,1,0,1,1,0,0,0,0
K7L2YBK1,7,1,1,0,1,1,0,0,0,0
KI8ZQ8G2,7,1,1,0,1,1,0,0,0,0
O3PEF7Z9,7,1,1,0,1,1,0,0,0,0
O5OIX9J5,7,1,1,0,1,1,0,0,0,0
O69U7VW8,7,1,1,0,1,1,0,0,0,0
R1ZDFXT3,7,1,1,0,1,1,0,0,0,0
SOXR2SY8,7,1,1,0,1,1,0,0,0,0
ST4AIFC2,7,1,1,0,1,1,0,0,0,0
T2QM1JN8,7,0,0,0,1,2,0,0,0,0
T8I6QD84,7,1,1,0,1,1,0,0,0,0
VA7C77Y7,7,1,1,0,1,1,0,0,0,0
VWAA2743,7,1,1,0,1,1,0,0,0,0
YB5CNPE1,7,1,1,0,1,1,0,0,0,0
Z2TES3DA,7,0,0,0,1,2,0,0,0,0
45GXJHX3,6,0,0,1,1,1,0,0,0,0
4PMY6165,6,0,0,1,1,1,0,0,0,0
4XB98TB8,6,0,0,1,1,1,0,0,0,0
65OYA3Y2,6,2,2,0,0,1,0,0,0,0
6DTPBWB3,6,0,0,1,1,1,0,0,0,0
97VUVDB2,6,2,2,0,0,1,0,0,0,0
