CV7VNA11,101, 0, 1, 0, 0, 0, 1
DGFO7C11,102, 1, 1, 0, 0, 0, 1
7HSLIO11,101, 0, 1, 0, 0, 0, 1
MJWRDY11,101, 0, 1, 0, 0, 0, 1
ZWG5KJ21,101, 0, 1, 0, 0, 0, 1
WS8OJZ21,101, 0, 1, 0, 0, 0, 1
5F7U3D31,101, 0, 1, 0, 0, 0, 1
NJVKLT31,101, 0, 1, 0, 0, 0, 1
7QMXSW31,101, 0, 1, 0, 0, 0, 1
ZE6NL941,101, 0, 1, 0, 0, 0, 1
6ZJSAA41,102, 1, 1, 0, 0, 0, 1
P411HC41,101, 0, 1, 0, 0, 0, 1
P644EH41,101, 0, 1, 0, 0, 0, 1
P796KH51,101, 0, 1, 0, 0, 0, 1
6QCK9G71,101, 0, 1, 0, 0, 0, 1
13MX3M71,101, 0, 1, 0, 0, 0, 1
EYZSSQ71,101, 0, 1, 0, 0, 0, 1
CNS3CC81,101, 0, 1, 0, 0, 0, 1
X6FRS191,101, 0, 1, 0, 0, 0, 1
ZPATEM91,101, 0, 1, 0, 0, 0, 1
QO6RMMA1,101, 0, 1, 0, 0, 0, 1
O4J8HPA1,102, 1, 1, 0, 0, 0, 1
YBC14RA1,101, 0, 1, 0, 0, 0, 1
GA5GTYA1,101, 0, 1, 0, 0, 0, 1
DFHRREB1,101, 0, 1, 0, 0, 0, 1
5DZBDRB1,102, 1, 1, 0, 0, 0, 1
Z8D79LC1,101, 0, 1, 0, 0, 0, 1
F4MWQ7D1,101, 0, 1, 0, 0, 0, 1
4GHFUFE1,101, 0, 1, 0, 0, 0, 1
PQV2NUE1,102, 1, 1, 0, 0, 0, 1
J1PZ1RF1,101, 0, 1, 0, 0, 0, 1
2ASNQ8G1,101, 0, 1, 0, 0, 0, 1
778WHVG1,101, 0, 1, 0, 0, 0, 1
OBKY58H1,101, 0, 1, 0, 0, 0, 1
G88DJGH1,101, 0, 1, 0, 0, 0, 1
6GBMJXH1,101, 0, 1, 0, 0, 0, 1
TDG415I1,101, 0, 1, 0, 0, 0, 1
RJ6D55I1,101, 0, 1, 0, 0, 0, 1
VZFXJGI1,102, 1, 1, 0, 0, 0, 1
6QT7RHI1,101, 0, 1, 0, 0, 0, 1
K4SNFCJ1,101, 0, 1, 0, 0, 0, 1
2NVQZGJ1,102, 1, 1, 0, 0, 0, 1
9S3LMOJ1,101, 0, 1, 0, 0, 0, 1
QL959WJ1,101, 0, 1, 0, 0, 0, 1
SR7VZ2K1,101, 0, 1, 0, 0, 0, 1
J7OOG5L1,101, 0, 1, 0, 0, 0, 1
1B43L1M1,101, 0, 1, 0, 0, 0, 1
UWYJ2PM1,101, 0, 1, 0, 0, 0, 1
D5DG6WM1,101, 0, 1, 0, 0, 0, 1
83JXUNN1,102, 1, 1, 0, 0, 0, 1
M4194BO1,101, 0, 1, 0, 0, 0, 1
VSLBFDO1,102, 1, 1, 0, 0, 0, 1
G36VNQP1,101, 0, 1, 0, 0, 0, 1
NDJLJTP1,101, 0, 1, 0, 0, 0, 1
LE92UVQ1,101, 0, 1, 0, 0, 0, 1
G2JO6LR1,101, 0, 1, 0, 0, 0, 1
TCBLC2T1,101, 0, 1, 0, 0, 0, 1
S1NGQWT1,103, 2, 1, 0, 0, 0, 1
9BP911U1,101, 0, 1, 0, 0, 0, 1
FTGLDHU1,101, 0, 1, 0, 0, 0, 1
555XVOU1,101, 0, 1, 0, 0, 0, 1
41TPJTV1,101, 0, 1, 0, 0, 0, 1
EJP46WV1,101, 0, 1, 0, 0, 0, 1
R9B3LCW1,102, 0, 1, 0, 0, 0, 2
ZLXK19X1,101, 0, 1, 0, 0, 0, 1
W3NB8AX1,101, 0, 1, 0, 0, 0, 1
OMA8J6Y1,101, 0, 1, 0, 0, 0, 1
OU9KMBY1,101, 0, 1, 0, 0, 0, 1
QI63E4Z1,101, 0, 1, 0, 0, 0, 1
F8MHR512,102, 1, 1, 0, 0, 0, 1
ZBJJ1B12,101, 0, 1, 0, 0, 0, 1
F9EYEF12,101, 0, 1, 0, 0, 0, 1
WXNXOO12,101, 0, 1, 0, 0, 0, 1
TICB3G32,101, 0, 1, 0, 0, 0, 1
OMKPQU32,102, 1, 1, 0, 0, 0, 1
3B1BW742,101, 0, 1, 0, 0, 0, 1
COQXZB42,101, 0, 1, 0, 0, 0, 1
CTU3CD42,101, 0, 1, 0, 0, 0, 1
K6RZ7M42,101, 0, 1, 0, 0, 0, 1
33JQL652,101, 0, 1, 0, 0, 0, 1
PDSDOM52,101, 0, 1, 0, 0, 0, 1
G9FPCW52,102, 1, 1, 0, 0, 0, 1
DN36RA62,101, 0, 1, 0, 0, 0, 1
7JGBUZ62,101, 0, 1, 0, 0, 0, 1
BLNOY682,101, 0, 1, 0, 0, 0, 1
CN8NNB82,101, 0, 1, 0, 0, 0, 1
FSJLSB82,101, 0, 1, 0, 0, 0, 1
XYDHVE82,101, 0, 1, 0, 0, 0, 1
ALQIRA92,102, 1, 1, 0, 0, 0, 1
398SQM92,101, 0, 1, 0, 0, 0, 1
LIYDSO92,101, 0, 1, 0, 0, 0, 1
K8R52IA2,101, 0, 1, 0, 0, 0, 1
PESWFRA2,101, 0, 1, 0, 0, 0, 1
IH29Z2B2,101, 0, 1, 0, 0, 0, 1
3SVJGOB2,101, 0, 1, 0, 0, 0, 1
9D14X6C2,101, 0, 1, 0, 0, 0, 1
RXPNC7C2,101, 0, 1, 0, 0, 0, 1
O4X27YC2,101, 0, 1, 0, 0, 0, 1
K7OQ36D2,101, 0, 1, 0, 0, 0, 1
IQGQ1DD2,101, 0, 1, 0, 0, 0, 1
WHJUN9E2,102, 1, 1, 0, 0, 0, 1
OOS6GGE2,101, 0, 1, 0, 0, 0, 1
WSOL9ME2,101, 0, 1, 0, 0, 0, 1
9PBOWME2,101, 0, 1, 0, 0, 0, 1
QWU4U4F2,101, 0, 1, 0, 0, 0, 1
OEIWG7F2,101, 0, 1, 0, 0, 0, 1
4359L9F2,101, 0, 1, 0, 0, 0, 1
HSOZ2KG2,101, 0, 1, 0, 0, 0, 1
R6ZL9RG2,102, 1, 1, 0, 0, 0, 1
L4PZXIH2,101, 0, 1, 0, 0, 0, 1
26FC6UH2,101, 0, 1, 0, 0, 0, 1
DSK9QUH2,101, 0, 1, 0, 0, 0, 1
S67I44I2,101, 0, 1, 0, 0, 0, 1
KPFYI5I2,101, 0, 1, 0, 0, 0, 1
JPB7RQK2,101, 0, 1, 0, 0, 0, 1
3JAYBUK2,101, 0, 1, 0, 0, 0, 1
JOSFLWK2,101, 0, 1, 0, 0, 0, 1
Q2UIV8L2,101, 0, 1, 0, 0, 0, 1
97KI79L2,101, 0, 1, 0, 0, 0, 1
POAEZIL2,101, 0, 1, 0, 0, 0, 1
DE1FQVL2,102, 1, 1, 0, 0, 0, 1
EQZIKNM2,101, 0, 1, 0, 0, 0, 1
CADM7RM2,101, 0, 1, 0, 0, 0, 1
U8QRCTM2,101, 0, 1, 0, 0, 0, 1
Q2XUPDN2,101, 0, 1, 0, 0, 0, 1
MBVA9LN2,102, 0, 1, 0, 0, 0, 2
D2X9A9O2,101, 0, 1, 0, 0, 0, 1
43GU7FO2,102, 0, 1, 0, 0, 0, 2
4332VFO2,101, 0, 1, 0, 0, 0, 1
21MYDYO2,101, 0, 1, 0, 0, 0, 1
MEU3D8P2,103, 2, 1, 0, 0, 0, 1
UV9L9IP2,101, 0, 1, 0, 0, 0, 1
16BGOIP2,101, 0, 1, 0, 0, 0, 1
SMKWTCR2,101, 0, 1, 0, 0, 0, 1
K2UB2IR2,101, 0, 1, 0, 0, 0, 1
HQHIKNR2,101, 0, 1, 0, 0, 0, 1
BGBFV8S2,101, 0, 1, 0, 0, 0, 1
4DXXDNS2,101, 0, 1, 0, 0, 0, 1
4OYKHWS2,101, 0, 1, 0, 0, 0, 1
YMYD98T2,101, 0, 1, 0, 0, 0, 1
GZS6YRT2,102, 1, 1, 0, 0, 0, 1
2THO65U2,101, 0, 1, 0, 0, 0, 1
24CQQBU2,101, 0, 1, 0, 0, 0, 1
G81ZL8V2,101, 0, 1, 0, 0, 0, 1
TMIHOJV2,102, 1, 1, 0, 0, 0, 1
IG5FN2X2,101, 0, 1, 0, 0, 0, 1
5EDCDCX2,101, 0, 1, 0, 0, 0, 1
4DEUUKX2,101, 0, 1, 0, 0, 0, 1
BBNBG1Y2,101, 0, 1, 0, 0, 0, 1
GO8LQ4Y2,101, 0, 1, 0, 0, 0, 1
5ZZWM4Y2,101, 0, 1, 0, 0, 0, 1
SC4XAFY2,101, 0, 1, 0, 0, 0, 1
PZLIYMZ2,101, 0, 1, 0, 0, 0, 1
VL4XUB13,101, 0, 1, 0, 0, 0, 1
KVXMY923,101, 0, 1, 0, 0, 0, 1
OUQTCE23,101, 0, 1, 0, 0, 0, 1
XSDC4333,101, 0, 1, 0, 0, 0, 1
