1112C3S7,1717,13,4,13,4,0,0,0,0
1113KZ3A,1415,1,13,1,13,0,0,0,1
11164F96,2066,13,7,13,7,3,0,0,1
1116HX5P,1834,14,4,14,4,0,1,0,1
1117HSL7,1935,6,13,6,13,1,0,0,1
11194K98,1747,13,4,13,4,2,0,0,0
111ACKFR,1920,6,13,6,13,0,0,0,1
111RIAFP,2121,8,13,8,13,0,0,0,0
111RVTD5,2136,14,7,14,7,1,0,0,0
112K5I3K,2222,9,13,9,13,0,0,0,0
112VRHMM,2137,13,8,13,8,0,1,0,1
113HAZJF,2252,13,9,13,9,2,0,0,0
113RX5BE,2223,9,13,9,13,0,0,0,1
1147458E,2238,8,14,8,14,1,0,0,1
115AK8F9,2339,13,10,13,10,1,0,0,1
11BT2ZB4,2525,11,14,11,14,0,0,0,0
11C6RML3,2252,9,13,9,13,2,0,0,0
11PKFVZ6,2557,9,16,9,16,2,0,0,2
11QMWGMX,2369,14,9,14,9,2,1,0,1
12HEL8GD,2424,15,9,15,9,0,0,0,0
14M1TKPC,2440,16,8,16,8,1,0,0,1
177PVX1B,2626,14,12,14,12,0,0,0,0
1GDBTPY7,2626,13,13,13,13,0,0,0,0
1HU8EDKC,2671,19,7,19,7,3,0,0,0
1IE57VXU,2627,12,14,12,14,0,0,0,1
29LJY9A6,2656,11,15,11,15,1,1,0,0
29VQP6H4,2742,11,16,11,16,0,1,0,0
4LIMAPQ6,2757,13,14,13,14,2,0,0,0
4LIMAPQ6,2757,13,14,13,14,2,0,0,0
67IMATKS,44,3,10,2,0,0,1
67TIFHUK,67,5,2,4,0,0,0
67TTTKIF,7,4,2,0,0,0,1
67TTUTTA,11,4,5,0,0,0,2
6TICMCI7,28,8,4,1,0,0,1
6TPFHFI7,86,5,6,3,2,0,0
6TTSWDF7,52,1,6,2,1,0,0
6TTUVMK7,43,7,4,1,1,0,2
6TTVIBW7,54,3,5,3,0,0,1
6TUIUAT7,42,7,5,1,1,0,0
9KL1AKMN,2758,9,18,9,18,2,0,0,1
9KL1AKMN,2758,9,18,9,18,2,0,0,1
AMSUSA67,87,7,5,5,0,0,0
CFKDUV67,88,8,4,5,0,0,1
CROYEUSM,2873,17,11,17,11,2,1,0,0
IFKU,1818,14,4,14,4,0,0,0,0
IMFCKT67,58,7,6,3,0,0,0
L554,1515,13,2,13,2,0,0,0,0
R3X4TJS6,2844,15,13,15,13,1,0,0,1
TTISPU67,39,5,4,1,1,0,0
TTSAKS67,25,3,7,1,0,0,0
TTTDKC67,38,4,2,1,1,0,2
TTTDMM67,33,2,1,2,0,0,0
TTTTOP67,22,5,2,1,0,0,0
TWPCGE67,85,4,5,4,1,0,1
UTMAAC67,67,3,4,2,2,0,0
W989AV1U,2929,16,13,16,13,0,0,0,0
W989AV1U,2929,16,13,16,13,0,0,0,0
WPAAMC67,113,4,4,6,1,0,0
