12LOJOVH,251,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
1332JGL3,245,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
15YUSRSA,245,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
161TBL83,257,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1
179JDMBF,243,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17HGH7BG,281,0,2,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
1A1V4OVA,245,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1FDAUI9I,255,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
1HHSUP26,242,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1
1MZ7NUKL,249,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
1QATUAZK,270,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1R2TE2Y5,262,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
1SFMNC35,270,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1TQXZ6SI,253,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
1VAFOD25,242,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1VR8E42O,278,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1WK7LIZF,245,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
21C55OYC,281,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
23F6HS25,254,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
279IAEBI,248,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
28UIHFQA,264,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2D8NANCP,322,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
