WKTQYC21,2,0,0,0,0,0,0,1,1,0
MQLL6P41,6,0,0,0,0,0,0,3,1,2
BKCCYQ71,5,0,0,0,0,0,0,1,4,0
15S53D81,4,0,0,0,0,0,0,1,2,1
UYBTHSB1,4,0,0,0,0,1,1,2,0,0
VTX5CEC1,4,0,0,0,0,0,0,1,0,3
8LP78AE1,3,0,0,0,0,0,0,1,1,1
RMK4CTE1,6,0,0,0,0,0,0,1,2,3
FIP1GCG1,3,0,0,0,0,1,0,1,1,0
88GZNWG1,5,0,0,0,0,0,1,1,0,3
OCIBT1H1,4,0,0,0,1,0,0,1,1,1
4NCT56L1,5,0,0,0,0,0,0,1,4,0
BBXUMJO1,6,0,0,0,0,0,0,2,3,1
LH4VW8S1,4,0,0,0,0,0,0,1,1,2
RMUJIL12,5,0,0,0,0,0,0,1,2,2
4RIS1M92,4,0,0,0,0,0,0,1,1,2
K6MKKSA2,6,0,0,0,0,0,0,1,1,4
Y21QS9E2,9,0,0,0,0,2,0,1,2,4
5Q4X61J2,6,0,0,0,0,0,0,1,3,2
AHBPOQM2,5,0,0,0,0,0,0,2,2,1
SERR1OV2,4,0,0,0,0,0,0,2,2,0
UA2DC2W2,6,0,0,0,0,0,0,1,2,3
43RMN1Z2,6,0,0,0,0,0,0,1,3,2
GIXBUR43,7,0,0,0,0,0,0,2,2,3
71DCT7B3,12,0,0,1,0,0,1,1,0,0
6D1V7QL3,9,0,0,0,0,0,0,2,4,3
53UVQ7Q3,7,0,0,0,0,0,0,2,3,2
TUE1KFU3,13,0,0,1,0,0,1,1,1,0
R77YWD64,6,0,0,0,0,0,0,1,4,1
XH45ZNT4,6,0,0,0,0,0,0,2,2,2
O97PKV45,6,0,0,0,0,0,0,1,1,4
NBBZ48B5,7,0,0,0,0,0,0,1,3,3
UTDW9FG5,13,1,0,0,1,0,0,1,1,0
6A8FB1Z5,6,0,0,0,0,0,1,2,1,2
1P9ZKAF6,6,0,0,0,0,0,0,1,0,5
XBC41PK6,15,1,0,0,1,0,0,1,0,3
A3PXV7M6,6,0,0,0,1,1,0,2,1,1
ZAXVZE68,7,0,0,0,0,0,0,2,2,3
KUA35O98,6,0,0,0,1,0,0,1,1,3
Z4R2X9V8,7,0,0,0,0,0,0,3,2,2
4D5TGAE9,9,0,0,0,1,0,1,1,5,1
NIVPHQH9,9,0,0,0,1,0,0,1,4,3
9GY4K6I9,6,0,0,0,0,0,0,1,1,4
15YGC3K9,14,0,1,0,0,1,0,2,1,0
1NPCVI1A,13,0,0,1,0,0,1,1,1,0
XHP356GA,6,0,0,0,0,0,0,1,0,5
CPIG42EB,16,1,0,0,1,1,1,1,2,0
FM7AMJMC,7,0,0,0,1,0,0,2,3,1
OLOIGNQC,6,0,0,0,0,0,0,1,0,5
TQWVAU5D,15,0,1,0,0,1,0,1,1,2
BQU2JFBD,7,0,0,0,0,0,0,2,3,2
3HVMYIFD,7,0,0,0,0,0,0,1,3,3
GPSSB5SD,8,0,0,0,0,3,0,1,4,0
KFDVAAHG,16,0,0,1,0,0,1,2,2,1
J2WXKSXG,14,0,1,0,0,1,0,1,1,1
2XES1B5H,14,1,0,0,1,0,0,1,1,1
7QT54WQH,16,0,1,0,0,1,0,1,1,3
FW2AY7AI,18,0,0,1,0,0,1,1,2,4
YTD66ULL,16,1,0,0,2,0,0,2,1,1
DL5DSUTM,17,0,0,1,0,0,1,1,2,3
12ZDR8ZM,14,0,0,1,0,0,1,3,0,0
XYTYB7SO,14,1,0,0,1,0,1,1,0,1
6YO7XY7R,19,0,0,1,0,0,1,2,3,3
DVDXHOIR,18,0,1,0,0,1,1,1,3,2
DDYTCKUY,19,1,0,0,2,0,0,1,4,2
